!CSV A.01.01
!Keysight Technologies,E5080B,MY59100151,A.13.70.02
!Date: Wednesday, April 01, 2020 18:03:42
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(MAG),S11(DEG),S12(MAG),S12(DEG),S21(MAG),S21(DEG),S22(MAG),S22(DEG)
9000,0.99737674,0.58701003,0.0019424256,98.770607,0.0057213069,25.265116,0.99952829,1.1013284
508995.5,0.9969998,-5.4861832,0.0035143488,-67.684532,0.013429061,-156.3526,0.99871272,-7.8134437
1008991,0.99787498,-11.254833,0.0045520784,155.73509,0.0068433117,32.76405,0.99110389,-15.134048
1508986.5,1.0001963,-16.404444,0.001207466,-132.69156,0.011514081,41.318722,1.0218396,-24.436796
2008982,0.99486762,-22.151518,0.0018669417,-82.065521,0.029021395,-83.20388,0.98586655,-33.413132
2508977.5,0.99703026,-27.455223,0.0015700236,-179.70909,0.033207219,-14.042765,1.0068902,-38.386055
3008973,0.99808359,-32.979153,0.0017568411,-31.228298,0.0063020466,154.93155,0.94416744,-45.944786
3508968.5,0.99506444,-38.09407,0.0012713666,118.57866,0.013299861,-83.27047,0.92924118,-55.374969
4008964,0.99206334,-43.907925,0.0015228312,-0.16728035,0.0132171,4.4531813,0.9317717,-63.523956
4508959.5,0.98738104,-49.550411,0.0011103158,73.922928,0.0079014385,174.63875,0.91705132,-68.780067
5008955,0.9883616,-55.125072,0.0019196952,-146.5394,0.018940641,-54.101418,0.90242612,-78.187538
5508950.5,0.98705125,-60.48737,0.00022304869,79.096817,0.019081164,-0.27737826,0.90503186,-85.254486
6008946,0.98345232,-65.947968,0.00083950948,-37.703819,0.017605342,57.439548,0.85740703,-87.877899
6508941.5,0.97516668,-71.495071,0.00054824806,-33.523582,0.014392558,-66.775322,0.84493923,-97.17955
7008937,0.97364712,-76.972313,0.0016947576,177.45432,0.034238495,133.1441,0.84818125,-106.79893
7508932.5,0.97046125,-82.407555,0.00053051312,170.85545,0.029254867,97.129517,0.81799978,-110.95066
8008928,0.96704376,-88.058716,0.00078291754,86.308533,0.032793824,-13.183021,0.84938782,-116.54844
8508923.5,0.96260041,-93.579361,0.00060162781,-62.251827,0.074705228,31.207424,0.78424805,-123.84798
